ID,FLIGHT_DATE,FLIGHT_NUMBER,CORRELATION_ID,OPERATION_TYPE,METER_ID,METER_LOCATION,METER_TYPE,METER_STATUS,METER_START_TIME,METER_START_READING,METER_STATUS,METER_END_TIME,METER_END_READING,UNIT_OF_MEASUREMENT,AEROBILL_REMARK,RECONCILIATION_REQUIRED
8082,,,,,FGP17,G17,FGP,ON,2026-05-04 23:01:00,1228.7,OFF,2026-06-04 08:43:00,1315.1,KWH,,NO
8083,,,,,FGP17,G17,FGP,ON,2026-06-04 08:01:00,0,OFF,2026-06-04 08:42:00,0,NULL,,NO
8084,,,,,PCA17,G17,PCA,ON,2026-06-04 08:03:00,0,OFF,2026-06-04 08:41:00,0,NULL,,NO
8085,,,,,FGP11L,G11L,FGP,ON,2026-06-04 20:02:00,0,OFF,2026-07-04 06:31:00,0,NULL,,NO
8086,,,,,PCA15,G15,PCA,ON,2026-06-04 20:58:00,0,OFF,2026-06-04 21:16:00,0,KWH,,NO
8231,,,,,FGP17,G17,FGP,ON,2026-05-04 23:01:00,1228.7,OFF,2026-06-04 08:43:00,1315.1,KWH,,NO
8232,,,,,FGP17,G17,FGP,ON,2026-06-04 08:01:00,0,OFF,2026-06-04 08:42:00,0,NULL,,NO
8233,,,,,PCA17,G17,PCA,ON,2026-06-04 08:03:00,0,OFF,2026-06-04 08:41:00,0,NULL,,NO
8234,,,,,FGP11L,G11L,FGP,ON,2026-06-04 20:02:00,0,OFF,2026-07-04 06:31:00,0,NULL,,NO
8235,,,,,PCA15,G15,PCA,ON,2026-06-04 20:58:00,0,OFF,2026-06-04 21:16:00,0,KWH,,NO
14867,,,483773,,FGP11R,G11R,FGP,ON,2026-05-31 05:10:00,5149.2,OFF,2026-06-01 11:14:00,5318,KWH,,NO
15384,04-06-2026,IX1039,485376,ARR,FGP18,G18,FGP,ON,2026-06-04 18:21:00,367.2,OFF,2026-06-04 18:44:00,372.9,KWH,,NO
15567,05-06-2026,QP2002,485489,ARR,FGP17,G17,FGP,ON,2026-06-04 23:12:00,1024,OFF,2026-06-04 23:59:00,1033.2,KWH,,NO
15696,03-06-2026,6E2133,484441,ARR,PCA11R,G11R,PCA,ON,2026-06-03 05:58:00,2791.2,OFF,2026-06-03 06:51:00,2847.9,KWH,"Not used: FGP, PBB",YES
15756,,,483931,,PCA11L,G11L,PCA,ON,2026-05-31 12:44:00,835.6,OFF,2026-06-01 20:24:00,971.4,KWH,,NO
15813,01-06-2026,6E829,483721,ARR,PBB12L,G12L,PBB,ON,2026-05-31 20:34:00,0,OFF,2026-06-01 07:10:00,0,NULL,,NO
15825,01-06-2026,6E2148,483719,ARR,PBB18,G18,PBB,ON,2026-05-31 21:51:00,0,OFF,2026-06-01 07:05:00,0,NULL,,NO
15827,01-06-2026,6E6093,483700,ARR,PBB12R,G12R,PBB,ON,2026-05-31 22:08:00,0,OFF,2026-06-01 06:08:00,0,NULL,,NO
15828,01-06-2026,6E6279,483663,ARR,PBB13L,G13L,PBB,ON,2026-05-31 22:12:00,0,OFF,2026-06-01 00:13:00,0,NULL,,NO
15829,01-06-2026,QP1430,483689,ARR,FGP14,G14,FGP,ON,2026-05-31 22:16:00,6307,OFF,2026-06-01 05:51:00,6331.6,KWH,,NO
15830,01-06-2026,6E2133,483714,ARR,PBB17,G17,PBB,ON,2026-05-31 22:47:00,0,OFF,2026-06-01 06:58:00,0,NULL,,NO
15831,01-06-2026,6E6360,483729,ARR,PBB10R,G10R,PBB,ON,2026-05-31 23:05:00,0,OFF,2026-06-01 07:48:00,0,NULL,,NO
15832,01-06-2026,6E6360,483728,ARR,FGP10R,G10R,FGP,ON,2026-05-31 23:06:00,4004.5,OFF,2026-06-01 07:35:00,4048.6,KWH,,NO
15833,01-06-2026,6E2071,483705,ARR,PBB15,G15,PBB,ON,2026-05-31 23:08:00,0,OFF,2026-06-01 06:37:00,0,NULL,,NO
15834,01-06-2026,6E2071,483703,ARR,FGP15,G15,FGP,ON,2026-05-31 23:08:00,6501.4,OFF,2026-06-01 06:29:00,0.5,KWH,,NO
15835,01-06-2026,6E2167,483685,ARR,PBB16,G16,PBB,ON,2026-05-31 23:52:00,0,OFF,2026-06-01 04:43:00,0,NULL,,NO
15836,01-06-2026,6E2167,483684,ARR,FGP16,G16,FGP,ON,2026-05-31 23:54:00,749,OFF,2026-06-01 04:42:00,799.7,KWH,,NO
15837,01-06-2026,6E6279,483734,ARR,PBB13L,G13L,PBB,ON,2026-06-01 00:14:00,0,OFF,2026-06-01 08:24:00,0,NULL,,NO
15838,01-06-2026,6E2252,483666,ARR,PBB13R,G13R,PBB,ON,2026-06-01 01:02:00,0,OFF,2026-06-01 01:06:00,0,NULL,,NO
15839,01-06-2026,6E2252,483713,ARR,PBB13R,G13R,PBB,ON,2026-06-01 01:52:00,0,OFF,2026-06-01 06:57:00,0,NULL,,NO
15840,01-06-2026,6E2167,483683,ARR,PCA16,G16,PCA,ON,2026-06-01 03:57:00,1192.9,OFF,2026-06-01 04:40:00,1236,KWH,,NO
15841,01-06-2026,6E2071,483704,ARR,PCA15,G15,PCA,ON,2026-06-01 05:20:00,5894.3,OFF,2026-06-01 06:28:00,5971.3,KWH,,NO
15842,01-06-2026,QP1430,483716,ARR,PBB14,G14,PBB,ON,2026-06-01 05:57:00,0,OFF,2026-06-01 07:02:00,0,NULL,,NO
15843,01-06-2026,QP1430,483718,ARR,FGP14,G14,FGP,ON,2026-06-01 05:58:00,6331.6,OFF,2026-06-01 07:03:00,6346.2,KWH,,NO
15844,01-06-2026,QP1430,483717,ARR,PCA14,G14,PCA,ON,2026-06-01 06:00:00,4664.9,OFF,2026-06-01 07:02:00,4753,KWH,,NO
15845,01-06-2026,6E2148,483711,ARR,PCA18,G18,PCA,ON,2026-06-01 06:00:00,2740.3,OFF,2026-06-01 06:56:00,2799.3,KWH,,NO
15846,01-06-2026,6E2133,483708,ARR,PCA17,G17,PCA,ON,2026-06-01 06:01:00,495.1,OFF,2026-06-01 06:48:00,547.7,KWH,,NO
15847,01-06-2026,6E6360,483727,ARR,PCA10R,G10R,PCA,ON,2026-06-01 07:05:00,6272.8,OFF,2026-06-01 07:32:00,6280.4,KWH,,NO
15848,01-06-2026,6E829,483724,ARR,PBB12L,G12L,PBB,ON,2026-06-01 07:10:00,0,OFF,2026-06-01 07:13:00,0,NULL,,NO
15849,01-06-2026,6E6360,483731,ARR,PBB10R,G10R,PBB,ON,2026-06-01 07:48:00,0,OFF,2026-06-01 07:56:00,0,NULL,,NO
15850,01-06-2026,QP1831,483748,ARR,PBB14,G14,PBB,ON,2026-06-01 08:44:00,0,OFF,2026-06-01 09:41:00,0,NULL,,NO
15851,01-06-2026,QP1831,483737,ARR,FGP14,G14,FGP,ON,2026-06-01 08:46:00,6346.2,OFF,2026-06-01 08:46:00,6346.2,KWH,,NO
15852,01-06-2026,QP1831,483744,ARR,FGP14,G14,FGP,ON,2026-06-01 08:46:00,6346.2,OFF,2026-06-01 09:24:00,6354.4,KWH,,NO
15853,01-06-2026,QP1831,483743,ARR,PCA14,G14,PCA,ON,2026-06-01 08:49:00,4753,OFF,2026-06-01 09:24:00,4799.2,KWH,,NO
15854,01-06-2026,6E6470,483751,ARR,PBB18,G18,PBB,ON,2026-06-01 08:51:00,0,OFF,2026-06-01 09:55:00,0,NULL,Not used: FGP,YES
15855,01-06-2026,6E6470,483750,ARR,PCA18,G18,PCA,ON,2026-06-01 08:54:00,2799.3,OFF,2026-06-01 09:43:00,2849.3,KWH,Not used: FGP,YES
15856,01-06-2026,6E5108,483760,ARR,PBB17,G17,PBB,ON,2026-06-01 09:27:00,0,OFF,2026-06-01 10:19:00,0,NULL,Not used: FGP,YES
15857,01-06-2026,6E5108,483755,ARR,PCA17,G17,PCA,ON,2026-06-01 09:33:00,547.9,OFF,2026-06-01 10:12:00,596.5,KWH,Not used: FGP,YES
15858,01-06-2026,6E295,483778,ARR,PBB15,G15,PBB,ON,2026-06-01 10:12:00,0,OFF,2026-06-01 11:26:00,0,NULL,"Not used: FGP, PCA",YES
15859,01-06-2026,6E2122,483769,ARR,PBB16,G16,PBB,ON,2026-06-01 10:15:00,0,OFF,2026-06-01 11:06:00,0,NULL,,NO
15860,01-06-2026,6E2122,483765,ARR,FGP16,G16,FGP,ON,2026-06-01 10:17:00,799.8,OFF,2026-06-01 10:57:00,812.4,KWH,,NO
15861,01-06-2026,6E2122,483764,ARR,PCA16,G16,PCA,ON,2026-06-01 10:18:00,1236.1,OFF,2026-06-01 10:56:00,1275.3,KWH,,NO
15862,01-06-2026,6E2046,483776,ARR,PBB12R,G12R,PBB,ON,2026-06-01 10:33:00,0,OFF,2026-06-01 11:24:00,0,NULL,"Not used: FGP, PCA",YES
15863,01-06-2026,6E2086,483794,ARR,PBB14,G14,PBB,ON,2026-06-01 11:02:00,0,OFF,2026-06-01 12:24:00,0,NULL,,NO
15864,01-06-2026,6E2086,483793,ARR,FGP14,G14,FGP,ON,2026-06-01 11:03:00,6354.4,OFF,2026-06-01 12:19:00,6375,KWH,,NO
15865,01-06-2026,6E2086,483792,ARR,PCA14,G14,PCA,ON,2026-06-01 11:05:00,4799.4,OFF,2026-06-01 12:17:00,4892.8,KWH,,NO
15866,01-06-2026,6E6840,483785,ARR,PBB18,G18,PBB,ON,2026-06-01 11:20:00,0,OFF,2026-06-01 12:04:00,0,NULL,Not used: FGP,YES
15867,01-06-2026,6E6840,483784,ARR,PCA18,G18,PCA,ON,2026-06-01 11:25:00,2849.3,OFF,2026-06-01 11:52:00,2880.1,KWH,Not used: FGP,YES
15868,01-06-2026,6E533,483805,ARR,PBB17,G17,PBB,ON,2026-06-01 12:06:00,0,OFF,2026-06-01 12:52:00,0,NULL,Not used: FGP,YES
15869,01-06-2026,6E533,483803,ARR,PCA17,G17,PCA,ON,2026-06-01 12:08:00,597.3,OFF,2026-06-01 12:50:00,653.8,KWH,Not used: FGP,YES
15870,01-06-2026,QP2018,483817,ARR,PBB16,G16,PBB,ON,2026-06-01 12:11:00,0,OFF,2026-06-01 13:38:00,0,NULL,,NO
15871,01-06-2026,QP2018,483812,ARR,FGP16,G16,FGP,ON,2026-06-01 12:11:00,812.4,OFF,2026-06-01 13:31:00,829.8,KWH,,NO
15872,01-06-2026,QP2018,483811,ARR,PCA16,G16,PCA,ON,2026-06-01 12:12:00,1275.3,OFF,2026-06-01 13:29:00,1382.6,KWH,,NO
15873,,,483807,,PBB18,G18,PBB,ON,2026-06-01 12:33:00,0,OFF,2026-06-01 13:02:00,0,NULL,,NO
15874,01-06-2026,6E2719,483810,ARR,PBB12R,G12R,PBB,ON,2026-06-01 12:36:00,0,OFF,2026-06-01 13:28:00,0,NULL,"Not used: FGP, PCA",YES
15875,01-06-2026,6E226,483816,ARR,FGP15,G15,FGP,ON,2026-06-01 12:45:00,0.5,OFF,2026-06-01 13:35:00,13,KWH,,NO
15876,01-06-2026,6E226,483818,ARR,PBB15,G15,PBB,ON,2026-06-01 12:45:00,0,OFF,2026-06-01 13:44:00,0,NULL,,NO
15877,01-06-2026,6E226,483815,ARR,PCA15,G15,PCA,ON,2026-06-01 12:59:00,5971.8,OFF,2026-06-01 13:35:00,6014.1,KWH,,NO
15878,01-06-2026,6E792,483944,ARR,PBB10R,G10R,PBB,ON,2026-06-01 14:04:00,0,OFF,2026-06-01 20:53:00,0,NULL,,NO
15879,01-06-2026,6E792,483829,ARR,FGP10R,G10R,FGP,ON,2026-06-01 14:05:00,4048.6,OFF,2026-06-01 14:42:00,4053.9,KWH,,NO
15880,01-06-2026,6E792,483824,ARR,PCA10R,G10R,PCA,ON,2026-06-01 14:07:00,6280.5,OFF,2026-06-01 14:27:00,6302.7,KWH,,NO
15881,01-06-2026,6E198,483874,ARR,PBB18,G18,PBB,ON,2026-06-01 14:25:00,0,OFF,2026-06-01 18:09:00,0,NULL,Not used: FGP,YES
15882,,,483826,,PBB14,G14,PBB,ON,2026-06-01 14:32:00,0,OFF,2026-06-01 14:33:00,0,NULL,,NO
15883,,,483828,,PBB14,G14,PBB,ON,2026-06-01 14:33:00,0,OFF,2026-06-01 14:33:00,0,NULL,,NO
